book_id,title,author_id,author_first_name,author_last_name,year_published
1,Where the Crawdads Sing,F301,Delia,Bowman,2018
2,The Night Circus,F302,Erin,Morgenstern,2011
3,The Goldfinch,F303,Donna,Tartt,2013
4,The Silent Patient,F304,Alex,Michaelides,2019
5,Big Little Lies,F305,Liane,Moriarty,2014
6,Normal People,F306,Sally,Rooney,2018
7,The Midnight Library,F307,Matt,Haig,2020
8,Little Fires Everywhere,F308,Celeste,Ng,2017
9,The Seven Husbands of Evelyn Hugo,F309,Taylor,Jenkins Reid,2017
10,Circe,F310,Madeline,Miller,2018
